context	label	year	test_type	question_number	question	answers
Competitive activities can be more than just performance showcases which the best is recognized and the rest are overlooked.	0	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
The provision of timely, constructive feedback to participants on performance is an asset that some competitions and contests offer.	1	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
In a sense, all competitions give feedback.	1	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
For many, this is restricted to information about whether the participant is an award- or prizewinner.	1	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
The provision of that type of feedback can be interpreted as shifting the emphasis to demonstrating superior performance but not necessarily excellence.	1	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
The best competitions promote excellence, not just winning or “beating” others.	1	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
The emphasis on superiority is what we typically see as fostering a detrimental effect of competition.	1	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
Performance feedback requires that the program go beyond the “win, place, or show” level of feedback.	1	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Information about performance can be very helpful, not only to the participant who does not win or place but also to those who do.	1	2021	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
If I say to you, ‘Don’t think of a white bear’, you will find it difficult not to think of a white bear. 	1	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
In this way, ‘thought suppression can actually increase the thoughts one wishes to suppress instead of calming them’.	1	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
One common example of this is that people on a diet who try not to think about food often begin to think much more about food.	1	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	1
This process is therefore also known as the rebound effect.	1	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
The ironic effect seems to be caused by the interplay of two related cognitive processes.	1	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	2
This dual-process system involves, first, an intentional operating process, which consciously attempts to locate thoughts unrelated to the suppressed ones.	1	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	3
Second, and simultaneously, an unconscious monitoring process tests whether the operating system is functioning effectively.	1	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
If the monitoring system encounters thoughts inconsistent with the intended ones, it prompts the intentional operating process to ensure that these are replaced by inappropriate thoughts.	0	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	4
However, it is argued, the intentional operating system can fail due to increased cognitive load caused by fatigue, stress and emotional factors, and so the monitoring process filters the inappropriate thoughts into consciousness, making them highly accessible.	1	2021	9월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	5
People from more individualistic cultural contexts tend to be motivated to maintain self-focused agency or control 1 as these serve as the basis of one’s self-worth.	1	2021	6월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
With this form of agency comes the belief that individual successes 2 depending primarily on one’s own abilities and actions, and thus, whether by influencing the environment or trying to accept one’s circumstances, the use of control ultimately centers on the individual.	0	2021	6월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
The independent self may be more 3 driven to cope by appealing to a sense of agency or control.	1	2021	6월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
However, people from more interdependent cultural contexts tend to be less focused on issues of individual success and agency and more motivated towards group goals and harmony.	1	2021	6월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Research has shown 4 that East Asians prefer to receive, but not seek, more social support rather than seek personal control in certain cases.	1	2021	6월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
Therefore, people 5 who hold a more interdependent self-construal may prefer to cope in a way that promotes harmony in relationships.	1	2021	6월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
Chunking is vital for cognition of music.	1	2021	6월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
If we had to encode it in our brains note by note, we’d struggle to make sense of anything more complex than the simplest children’s songs.	1	2021	6월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	1
